"","file","Total","no_Xs","TotalCleanReads","WTcount","Singleton","Doubleton","PercentWT","PercentSingleton","PercentDoubleton"
"1","Run0_1_",816,263,13980,2892,131,35,20.68669527897,0.937052932761087,0.25035765379113
"2","Run0_10",1026,426,9073,749,231,53,8.25526286784966,2.54601565083214,0.584150777030751
"3","Run0_11",516,221,2506,601,133,28,23.9824421388667,5.3072625698324,1.11731843575419
"4","Run0_14",183,99,423,17,64,14,4.01891252955083,15.1300236406619,3.3096926713948
"5","Run0_16",1141,518,5124,102,286,62,1.99063231850117,5.5815768930523,1.20999219359875
"6","Run0_17",277,99,2425,875,52,15,36.0824742268041,2.14432989690722,0.618556701030928
"7","Run0_3_",1905,525,19664,4048,286,68,20.5858421480879,1.45443449959317,0.345809601301871
"8","Run0_5_",533,198,8574,1542,99,25,17.9846046186144,1.15465360391882,0.291579192908794
"9","Run0_6_",801,305,10625,2281,153,37,21.4682352941176,1.44,0.348235294117647
"10","Run0_8_",1041,413,10241,2353,233,46,22.9762718484523,2.27516844058197,0.449174885265111
"11","Run2_1_",1031,63,105,0,52,6,0,49.5238095238095,5.71428571428571
"12","Run2_10",2004,204,384,32,160,18,8.33333333333333,41.6666666666667,4.6875
"13","Run2_11",1456,94,143,10,77,11,6.99300699300699,53.8461538461538,7.69230769230769
"14","Run2_13",1280,52,65,3,48,1,4.61538461538462,73.8461538461539,1.53846153846154
"15","Run2_19",1188,63,80,0,56,2,0,70,2.5
"16","Run2_20",1142,158,507,50,108,22,9.86193293885602,21.301775147929,4.33925049309665
"17","Run2_21",1531,152,339,42,108,19,12.3893805309735,31.858407079646,5.6047197640118
"18","Run2_22",1414,79,135,9,61,10,6.66666666666667,45.1851851851852,7.40740740740741
"19","Run2_23",1106,82,160,15,66,7,9.375,41.25,4.375
"20","Run2_24",616,36,53,3,28,4,5.66037735849057,52.8301886792453,7.54716981132075
"21","Run2_5_",1157,111,172,0,89,12,0,51.7441860465116,6.97674418604651
"22","Run2_9_",922,63,79,2,52,6,2.53164556962025,65.8227848101266,7.59493670886076
"23","Run3_1_",259,231,17501,1160,95,30,6.6281926747043,0.542826124221473,0.171418776069939
"24","Run3_10",588,555,15065,56,261,67,0.371722535678726,1.73249253235977,0.444739462329904
"25","Run3_11",416,379,20188,1746,165,56,8.64870219932633,0.817317218149396,0.277392510402219
"26","Run3_12",450,416,18428,306,167,66,1.66051660516605,0.906229650531799,0.358150640329933
"27","Run3_13",355,324,13057,49,127,50,0.375277628858084,0.972658344183197,0.382936355977637
"28","Run3_14",382,340,18197,33,139,39,0.181348573940759,0.763862175083805,0.214321041929988
"29","Run3_15",861,838,15065,336,397,133,2.23033521407235,2.63524726186525,0.882841022236973
"30","Run3_16",1090,1050,20813,353,486,156,1.69605535002162,2.33507903714025,0.749531542785759
"31","Run3_17",250,219,24217,5127,97,36,21.1710781682289,0.400545071643887,0.148655902878143
"32","Run3_18",220,209,21461,4712,89,34,21.9561064256092,0.414705745305438,0.158426913936909
"33","Run3_19",72,68,2534,664,26,10,26.2036306235201,1.02604577742699,0.394632991318074
"34","Run3_2_",282,259,18463,47,123,32,0.254563180414884,0.666197259383632,0.173319612197368
"35","Run3_20",258,237,20060,4257,110,24,21.2213359920239,0.548354935194417,0.119641076769691
"36","Run3_21",249,217,24776,5489,79,37,22.1545043590572,0.318856958346787,0.149338069099128
"37","Run3_22",228,210,26339,5934,94,28,22.5293291317058,0.356885227229583,0.106306237898174
"38","Run3_23",236,228,4024,340,111,30,8.4493041749503,2.75844930417495,0.745526838966203
"39","Run3_3_",276,243,15242,9,123,30,0.0590473691116651,0.806980711192757,0.19682456370555
"40","Run3_4_",384,358,19411,2436,160,47,12.5495852866931,0.824274895677709,0.242130750605327
"41","Run3_5_",353,322,17725,1393,139,46,7.8589562764457,0.784203102961918,0.259520451339915
"42","Run3_6_",269,244,14013,85,90,40,0.606579604652822,0.642260757867694,0.285449225718975
"43","Run3_7_",945,824,18316,114,383,116,0.622406639004149,2.09106791875955,0.63332605372352
"44","Run3_8_",554,500,6550,16,235,70,0.244274809160305,3.58778625954198,1.06870229007634
"45","Run3_9_",983,898,20995,43,406,144,0.204810669206954,1.93379376041915,0.685877589902358
"46","Run4_17",228,218,10249,2282,120,23,22.2655868865255,1.1708459361889,0.224412137769539
