"","file","Total","no_gaps","no_Ns","no_missing","TotalCleanReads","WTcount","Singleton","PercentWT","PercentSingleton"
"1","Run0_1_",537,527,204,192,15199,3147,85,20.7053095598395,0.559247318902559
"2","Run0_10",596,591,271,264,9954,856,112,8.59955796664658,1.12517580872011
"3","Run0_11",280,278,147,142,2839,719,68,25.3258189503346,2.39520958083832
"4","Run0_14",120,120,80,79,487,22,45,4.51745379876797,9.24024640657084
"5","Run0_16",610,597,310,303,5849,110,130,1.88066336125833,2.2226021542144
"6","Run0_17",161,161,70,64,2668,1016,30,38.0809595202399,1.12443778110945
"7","Run0_3_",1179,1153,300,286,21821,4665,117,21.3784886118876,0.536180743320654
"8","Run0_5_",332,323,147,141,9343,1701,50,18.2061436369474,0.53516001284384
"9","Run0_6_",503,494,253,240,11540,2470,101,21.4038128249567,0.875216637781629
"10","Run0_8_",638,628,290,268,11160,2624,129,23.5125448028674,1.15591397849462
"11","Run2_1_",660,635,63,63,270,10,38,3.7037037037037,14.0740740740741
"12","Run2_10",1280,1241,195,191,865,87,116,10.0578034682081,13.4104046242775
"13","Run2_11",1064,1037,128,127,355,41,77,11.5492957746479,21.6901408450704
"14","Run2_13",929,886,85,83,189,13,58,6.87830687830688,30.6878306878307
"15","Run2_17",923,908,152,145,316,0,99,0,31.3291139240506
"16","Run2_19",897,871,124,123,228,0,95,0,41.6666666666667
"17","Run2_20",633,621,114,112,993,138,59,13.8972809667674,5.94159113796576
"18","Run2_21",939,916,135,132,734,125,74,17.0299727520436,10.0817438692098
"19","Run2_22",984,957,121,119,370,39,82,10.5405405405405,22.1621621621622
"20","Run2_5_",730,710,122,121,420,3,75,0.714285714285714,17.8571428571429
"21","Run2_9_",705,685,105,102,202,16,79,7.92079207920792,39.1089108910891
"22","Run3_1_",210,205,199,187,17512,1163,59,6.6411603471905,0.336911831886706
"23","Run3_10",465,459,459,448,15090,65,179,0.430748840291584,1.18621603711067
"24","Run3_11",336,336,332,306,20200,1757,115,8.6980198019802,0.569306930693069
"25","Run3_12",364,361,359,337,18440,315,107,1.70824295010846,0.580260303687636
"26","Run3_13",301,296,294,273,13062,54,86,0.41341295360588,0.658398407594549
"27","Run3_14",315,309,308,275,18199,37,82,0.203307874059014,0.450574207374032
"28","Run3_15",602,600,597,586,15074,429,231,2.84595993100703,1.53243996284994
"29","Run3_16",753,752,748,724,20832,432,281,2.07373271889401,1.34888632872504
"30","Run3_17",197,192,191,172,24226,5140,66,21.216874432428,0.272434574424172
"31","Run3_18",170,168,167,164,21467,4728,63,22.024502725113,0.293473703824475
"32","Run3_19",64,64,64,62,2536,670,23,26.4195583596215,0.906940063091483
"33","Run3_2_",221,218,215,200,18469,49,71,0.265309437435703,0.384427960366019
"34","Run3_20",202,200,197,187,20069,4270,71,21.2765957446809,0.353779460860033
"35","Run3_21",202,198,195,174,24787,5507,53,22.217291322064,0.213821761407189
"36","Run3_22",187,186,184,174,26354,5954,67,22.5923958412385,0.254230856795932
"37","Run3_23",203,203,202,195,4025,348,83,8.64596273291925,2.06211180124224
